"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1879","searching for a non-existent product shows zero results on the Products page @ui","","2026-05-17","passed","2026-05-17","","ui/products.spec.ts","",""
"","1756","subscription footer confirms a successful subscription on the live site @ui","","2026-05-17","passed","2026-05-17","","ui/products.spec.ts","",""
"","266","softGroup body receives soft mode and restores hard mode afterwards @ui","","2026-05-17","passed","2026-05-17","","unit/assertions.spec.ts","",""
"","485","hard assertion failure throws immediately @ui","","2026-05-17","passed","2026-05-17","","unit/assertions.spec.ts","",""
"","456","assertion helpers resolve against the live DOM in hard mode @ui","","2026-05-17","passed","2026-05-17","","unit/assertions.spec.ts","",""
"","4008","user created via API can log in and is visible in the UI @e2e @ui","","2026-05-17","passed","2026-05-17","","ui/account-hybrid.spec.ts","",""
"","2576","home page opens the live automationexercise site and navigates to products @ui","","2026-05-17","passed","2026-05-17","","ui/home.spec.ts","",""
"","242","logger fixture resets history between tests @ui","","2026-05-17","passed","2026-05-17","","unit/fixture.spec.ts","",""
"","1709","product details page exposes structured product information @ui","","2026-05-17","passed","2026-05-17","","ui/products.spec.ts","",""
"","221","worker-scoped fixture server serves mounted HTML @ui","","2026-05-17","passed","2026-05-17","","unit/fixture.spec.ts","",""
"","2333","brand filter uses the sidebar component and shows Polo products @ui","","2026-05-17","passed","2026-05-17","","ui/products.spec.ts","",""
"","2754","products search narrows the catalog on automationexercise @ui","","2026-05-17","passed","2026-05-17","","ui/products.spec.ts","",""
"","8172","new user can create an account and sign in with it @ui","","2026-05-17","passed","2026-05-17","","ui/account.spec.ts","",""
"","836","softGroup keeps executing after a failing assertion @ui","","2026-05-17","passed","2026-05-17","","unit/assertions.spec.ts","",""
